t_ms,clip_id,ax,ay,az,gx,gy,gz,label
5135,1,-0.041382,0.005005,1.022461,1.159668,0.976562,0.976562,quieto_mesa
5146,1,-0.041992,0.003418,1.02124,1.037598,0.793457,0.976562,quieto_mesa
5156,1,-0.042725,0.004272,1.021729,1.220703,1.037598,0.976562,quieto_mesa
5166,1,-0.042236,0.004883,1.021118,1.098633,0.915527,0.915527,quieto_mesa
5175,1,-0.04187,0.004272,1.021362,1.098633,1.037598,0.976562,quieto_mesa
5186,1,-0.042358,0.004517,1.022095,0.915527,0.915527,0.976562,quieto_mesa
5196,1,-0.042847,0.003906,1.022461,1.098633,1.037598,1.098633,quieto_mesa
5205,1,-0.041992,0.004028,1.022217,1.098633,1.098633,1.098633,quieto_mesa
5216,1,-0.042725,0.003784,1.022583,0.915527,1.037598,1.098633,quieto_mesa
5226,1,-0.042969,0.00354,1.020752,0.915527,0.976562,0.976562,quieto_mesa
5236,1,-0.042847,0.004395,1.021484,1.098633,0.793457,0.854492,quieto_mesa
5246,1,-0.042236,0.003784,1.021729,1.037598,0.915527,0.915527,quieto_mesa
5256,1,-0.042358,0.004395,1.02124,1.037598,0.854492,0.976562,quieto_mesa
5266,1,-0.043213,0.004761,1.022827,1.098633,0.854492,0.976562,quieto_mesa
5276,1,-0.041992,0.004639,1.021851,1.037598,0.976562,0.915527,quieto_mesa
5286,1,-0.042236,0.004395,1.022583,1.098633,0.854492,1.098633,quieto_mesa
5296,1,-0.042114,0.004395,1.021729,1.098633,0.915527,1.159668,quieto_mesa
5306,1,-0.042603,0.004028,1.021851,1.159668,0.976562,0.976562,quieto_mesa
5316,1,-0.042847,0.004272,1.021973,1.220703,1.037598,0.915527,quieto_mesa
5326,1,-0.042114,0.00415,1.021484,1.098633,1.037598,0.854492,quieto_mesa
5336,1,-0.041016,0.004028,1.021729,1.159668,0.854492,1.098633,quieto_mesa
5346,1,-0.04187,0.003784,1.022705,0.854492,0.915527,1.037598,quieto_mesa
5356,1,-0.042114,0.00354,1.021851,1.098633,0.915527,0.915527,quieto_mesa
5366,1,-0.042114,0.003784,1.021362,1.159668,0.854492,0.976562,quieto_mesa
5377,1,-0.042358,0.003052,1.021729,1.037598,0.915527,0.915527,quieto_mesa
5387,1,-0.041382,0.003906,1.021606,1.098633,0.915527,1.037598,quieto_mesa
5396,1,-0.04248,0.004395,1.021118,0.915527,0.854492,0.915527,quieto_mesa
5406,1,-0.042603,0.004028,1.021362,1.098633,0.732422,1.098633,quieto_mesa
5426,1,-0.042969,0.004028,1.021362,1.098633,0.854492,0.915527,quieto_mesa
5436,1,-0.042114,0.003296,1.021851,0.915527,0.915527,0.915527,quieto_mesa
5446,1,-0.042114,0.00293,1.022095,0.976562,1.037598,0.976562,quieto_mesa
5456,1,-0.042725,0.003662,1.022705,0.976562,0.915527,0.915527,quieto_mesa
5467,1,-0.042847,0.00354,1.022217,1.037598,1.037598,0.854492,quieto_mesa
5477,1,-0.04187,0.004028,1.02124,1.098633,0.793457,0.915527,quieto_mesa
5486,1,-0.04187,0.003662,1.021851,1.037598,0.854492,0.915527,quieto_mesa
5496,1,-0.042969,0.003662,1.021606,0.976562,1.037598,0.976562,quieto_mesa
5507,1,-0.043457,0.003784,1.02124,0.976562,1.098633,0.976562,quieto_mesa
5517,1,-0.042847,0.003052,1.022217,1.098633,0.854492,0.915527,quieto_mesa
5527,1,-0.04187,0.004272,1.021484,1.037598,0.976562,0.976562,quieto_mesa
5537,1,-0.042603,0.00415,1.021362,1.098633,0.793457,0.976562,quieto_mesa
5547,1,-0.043091,0.00354,1.02124,1.037598,0.793457,1.037598,quieto_mesa
5557,1,-0.043823,0.00415,1.021973,1.159668,0.976562,0.793457,quieto_mesa
5567,1,-0.042725,0.003662,1.021118,1.037598,0.976562,0.915527,quieto_mesa
5587,1,-0.042847,0.003906,1.021484,0.976562,0.915527,0.915527,quieto_mesa
5597,1,-0.041992,0.004883,1.022217,1.037598,0.915527,0.793457,quieto_mesa
5607,1,-0.042603,0.004883,1.021484,1.037598,1.098633,0.854492,quieto_mesa
5617,1,-0.04248,0.003906,1.022217,1.098633,0.915527,0.915527,quieto_mesa
5627,1,-0.04187,0.005005,1.021973,0.976562,0.976562,0.915527,quieto_mesa
5637,1,-0.042969,0.003662,1.021973,1.037598,0.915527,0.976562,quieto_mesa
5647,1,-0.042725,0.00415,1.021729,0.976562,0.854492,0.976562,quieto_mesa
5657,1,-0.041626,0.00354,1.022095,1.037598,0.854492,0.915527,quieto_mesa
5667,1,-0.042358,0.004272,1.021729,0.915527,0.793457,0.915527,quieto_mesa
5678,1,-0.043091,0.003296,1.021484,1.159668,0.915527,1.037598,quieto_mesa
5687,1,-0.042603,0.003906,1.021362,1.037598,0.976562,1.037598,quieto_mesa
5697,1,-0.043457,0.004028,1.022339,1.037598,0.976562,0.976562,quieto_mesa
5707,1,-0.042114,0.00354,1.022705,1.159668,1.037598,0.854492,quieto_mesa
5717,1,-0.042847,0.004517,1.021729,1.159668,1.037598,1.098633,quieto_mesa
5727,1,-0.042969,0.003296,1.022339,0.976562,0.854492,0.976562,quieto_mesa
5747,1,-0.04248,0.004272,1.022827,0.915527,1.037598,0.854492,quieto_mesa
5757,1,-0.043091,0.003906,1.021484,0.854492,0.793457,0.854492,quieto_mesa
5767,1,-0.042969,0.003174,1.021362,0.915527,0.976562,0.854492,quieto_mesa
5777,1,-0.042725,0.003662,1.022217,0.976562,0.976562,0.976562,quieto_mesa
5787,1,-0.042725,0.004517,1.021362,1.098633,0.793457,1.098633,quieto_mesa
5797,1,-0.041138,0.004395,1.022217,0.976562,0.915527,0.915527,quieto_mesa
5808,1,-0.041382,0.003662,1.02124,0.976562,0.976562,0.915527,quieto_mesa
5817,1,-0.043213,0.003906,1.021484,1.037598,1.098633,0.976562,quieto_mesa
