t_ms,clip_id,ax,ay,az,gx,gy,gz,label
21016,1,1.020874,-0.514526,0.400024,36.804199,0.488281,30.883789,circulos
21026,1,1.013306,-0.507324,0.390503,37.231445,2.01416,32.104492,circulos
21036,1,1.013794,-0.498169,0.386597,38.208008,2.990723,32.470703,circulos
21046,1,1.019287,-0.482422,0.384888,39.611816,3.662109,32.348633,circulos
21055,1,1.026855,-0.45874,0.385254,41.137695,5.67627,31.677246,circulos
21076,1,1.062134,-0.374756,0.384399,43.640137,10.070801,30.700684,circulos
21088,1,1.062012,-0.346802,0.366211,42.724609,12.756348,30.700684,circulos
21097,1,1.059204,-0.314209,0.351074,41.564941,14.953613,30.212402,circulos
21107,1,1.060669,-0.290039,0.338745,40.100098,17.578125,27.282715,circulos
21126,1,1.06897,-0.223877,0.30896,37.841797,20.568848,23.55957,circulos
21136,1,1.071777,-0.207153,0.30249,36.682129,21.972656,21.240234,circulos
21146,1,1.077881,-0.201904,0.296875,34.912109,22.888184,18.188477,circulos
21156,1,1.08313,-0.19165,0.290405,32.775879,24.169922,14.953613,circulos
21166,1,1.08374,-0.183594,0.28772,28.137207,27.22168,9.277344,circulos
21176,1,1.096191,-0.196533,0.290161,25.939941,29.23584,7.263184,circulos
21186,1,1.091187,-0.204834,0.278076,23.803711,31.433105,5.065918,circulos
21196,1,1.083252,-0.217529,0.269775,23.376465,33.325195,1.831055,circulos
21206,1,1.076294,-0.226929,0.260986,24.353027,34.423828,-1.037598,circulos
21216,1,1.071045,-0.22876,0.253784,25.756836,35.03418,-5.737305,circulos
21236,1,1.07251,-0.226196,0.241943,27.954102,36.560059,-8.728027,circulos
21247,1,1.059448,-0.221191,0.240234,26.184082,37.902832,-9.277344,circulos
21257,1,1.054443,-0.220093,0.241821,23.4375,38.757324,-9.277344,circulos
21267,1,1.050171,-0.215942,0.237061,20.568848,40.527344,-8.483887,circulos
21277,1,1.042603,-0.220093,0.213623,14.282227,43.640137,-7.995605,circulos
21286,1,1.022583,-0.21936,0.199585,11.962891,44.73877,-7.751465,circulos
21297,1,1.017212,-0.226196,0.186523,10.681152,45.166016,-8.117676,circulos
21307,1,1.007935,-0.239258,0.177734,9.94873,45.288086,-9.521484,circulos
21317,1,1.000732,-0.244385,0.161865,10.070801,45.654297,-11.535645,circulos
21327,1,0.998047,-0.243408,0.151489,12.756348,45.898437,-15.075684,circulos
21337,1,0.973755,-0.222412,0.119019,12.573242,46.386719,-16.723633,circulos
21347,1,0.955811,-0.217407,0.103516,11.413574,46.508789,-17.822266,circulos
21357,1,0.930664,-0.215576,0.086426,8.972168,46.508789,-18.432617,circulos
